file,mix_sisdr,enh_sisdr,mix_pesq,enh_pesq,mix_stoi,enh_stoi,sisdr_i,pesq_i,stoi_i
1089-134686-0000_121-127105-0031.wav,4.988976517370457,11.455031488260058,2.1175785064697266,2.3307735919952393,0.8203001276498814,0.8805200988513332,6.466054970889601,0.2131950855255127,0.06021997120145184
1089-134686-0000_260-123440-0016.wav,7.0871512203859535,13.962019909933645,2.113621473312378,2.9696218967437744,0.8737446106896127,0.9465402107517359,6.874868689547691,0.8560004234313965,0.07279560006212316
1089-134686-0000_61-70968-0047.wav,0.7447383017429023,-1.5945759617585682,1.6081182956695557,1.4085097312927246,0.689225357729739,0.5605487836234309,-2.3393142635014703,-0.19960856437683105,-0.12867657410630817
1089-134686-0002_7729-102255-0037.wav,-0.8397632151182464,-0.45909765591107904,1.692276954650879,1.6651169061660767,0.7183901316298262,0.7288852528672918,0.3806655592071673,-0.027160048484802246,0.010495121237465543
1089-134686-0004_1284-1180-0027.wav,0.6356762280717344,7.980326331586346,1.6254526376724243,2.005049705505371,0.7807524763621694,0.8769222190812659,7.344650103514612,0.3795970678329468,0.09616974271909651
1089-134686-0004_6829-68771-0005.wav,-5.148268999673844,3.5463232474266593,1.5259404182434082,1.6362576484680176,0.704162509335126,0.7795257459145449,8.694592247100504,0.11031723022460938,0.0753632365794189
1089-134686-0004_8463-294828-0016.wav,-1.3135340073891164,1.2126109916476604,1.6545076370239258,1.7299485206604004,0.6829730275335919,0.7021029957947306,2.526144999036777,0.07544088363647461,0.019129968261138663
1089-134686-0005_7176-92135-0020.wav,-1.6690979378744686,3.5241845699324514,1.6818591356277466,1.5193274021148682,0.6167706147905908,0.7189984764358982,5.19328250780692,-0.16253173351287842,0.1022278616453074
1089-134686-0006_1580-141083-0022.wav,3.5505504440870745,13.050017550723162,1.6800174713134766,3.068495035171509,0.7660114640478334,0.9447716961066736,9.499467106636088,1.3884775638580322,0.17876023205884017
1089-134686-0006_4446-2271-0018.wav,1.2448907188003446,13.178779966634826,1.938432216644287,2.9422647953033447,0.7751912921435749,0.9414472541224667,11.93388924783448,1.0038325786590576,0.1662559619788918
1089-134686-0007_1995-1836-0000.wav,-0.4197700235485224,9.872864407180252,1.5809800624847412,2.7005624771118164,0.6917683376065232,0.918362302821849,10.292634430728775,1.1195824146270752,0.22659396521532582
